Product Name,UNSPSC,ProductId,Price Varies with SKU,,Note the productId field? I think if you change that we might get it..
MAT2008,47131901        ,137583,0,,
MAT201,47131901        ,137587,0,,
MAT202,47131901        ,137589,0,,
MAT202-01,47131901        ,137591,0,,
MAT204,47131901        ,137601,0,,
MAT2101,47131901        ,137617,0,,
MAT2102,47131901        ,137619,0,,
MAT211,47131901        ,137621,0,,
MAT216,47131901        ,137639,0,,
MAT220,47131901        ,137651,0,,
MAT225,47131901        ,137661,0,,
MAT226,47131901        ,137663,0,,
MAT228,47131901        ,137665,0,,
MAT229,47131901        ,137669,0,,
MAT231,47131901        ,137677,0,,
MAT242,47131901        ,137699,0,,
MAT243,47131901        ,137703,0,,
MAT245,47131901        ,137707,0,,
MAT246,47131901        ,137709,0,,
MAT251,47131901        ,137715,0,,
MAT2510,47131901        ,137717,0,,
MAT252,47131901        ,137719,0,,
MAT253,47131901        ,137721,0,,
MAT276,47131901        ,137767,0,,
MAT277,47131901        ,137769,0,,
MAT411,47131901        ,137871,0,,
MAT412,47131901        ,137877,0,,
MAT4301,47131901        ,137911,0,,
MAT4302,47131901        ,137913,0,,
MAT465,47131901        ,137971,0,,
MAT466,47131901        ,137973,0,,
MAT497,47131901        ,137995,0,,
MAT501,47131901        ,138003,0,,
MAT502,47131901        ,138007,0,,
MAT502-01,47131901        ,138009,0,,
MAT503,47131901        ,138013,0,,
MAT504,47131901        ,138015,0,,
MAT505,47131901        ,138017,0,,
MAT520,47131901        ,138035,0,,
MAT525,47131901        ,138037,0,,
MAT530,47131901        ,138047,0,,
MAT531,47131901        ,138049,0,,
MAT540,47131901        ,138053,0,,
MAT545,47131901        ,138061,0,,
MAT546,47131901        ,138063,0,,
DRM143,24110000        ,125707,0,,
MAT551,47131901        ,138065,0,,
MAT577,47131901        ,138088,0,,
MAT578,47131901        ,138090,0,,
MAT602,47131901        ,138104,0,,
MAT603,47131901        ,138106,0,,
MAT605,47131901        ,138110,0,,
MAT606,47131901        ,138112,0,,
MAT607,47131901        ,138114,0,,
MAT608,47131901        ,138127,0,,
MAT625,47131901        ,138162,0,,
MAT630,47131901        ,138164,0,,
REZ106,47131901        ,145928,0,,
RFL631,47131600        ,146048,0,,
TLS631,47131600        ,149376,0,,
PAK951,24111800        ,140461,0,,
DRM602,27112902        ,126477,0,,
DRM669,24112112        ,126572,0,,
DRM454,27112902        ,126228,0,,
KIT319,47131905        ,156123,0,,
KIT443,47131905        ,136998,0,,
KIT468,47131905        ,137026,0,,
TLS461,20122806        ,148988,0,,
WIP6070-1,47131502        ,152986,0,,
PAN404,24111800        ,140577,0,,
WIP118,47131502        ,153245,0,,
WIP155,47131502        ,149602,0,,
WIP316,47131502        ,149804,0,,
WIP331,47131502        ,149828,0,,
WIP332,47131502        ,149830,0,,
WIP333,47131502        ,153249,0,,
WIP335,47131502        ,156216,0,,
WIP336,47131502        ,156218,0,,
WIP337,47131502        ,156220,0,,
WIP338,47131502        ,156222,0,,
WIP480,47131502        ,150008,0,,
WIP484,47131502        ,150012,0,,
WIP630,47131502        ,150182,0,,
WIP631,47131502        ,150184,0,,
WIP633,47131502        ,150188,0,,
WIP635,47131502        ,150190,0,,
WIP636,47131502        ,150194,0,,
WIP641,47131502        ,150198,0,,
WIP642,47131502        ,150200,0,,
WIP661,47131502        ,150206,0,,
WIP662,47131502        ,150208,0,,
WIP663,47131502        ,150210,0,,
DRM1113,40141700        ,158610,0,,
DRM1114,40141700        ,158612,0,,
FLM800,52101510        ,158614,0,,
FLM801,52101510        ,158617,0,,
FLM802,52101510        ,158620,0,,
FLM803,52101510        ,158623,0,,
FLM804,52101510        ,158626,0,,
PIL114,47131908        ,158628,0,,
PIL115,47131908        ,158630,0,,
PIL116,47131908        ,158632,0,,
