Product Name,ProductId,UNSPSC,Category Name,Cust Field 1,Cust Field 2,Cust Field 3,Cust Field 4,Cust Field 5,Configurable Product
NETVISION VIRTUAL APPLIANCE                                                     ,2658064,4323320300,Network security or virtual private network VPN management software             ,NONE  ,,,NETVISION INC                           ,1,No
NETVISION WEB DEPLOYMENT & KNOWLEDGE TRANSFER                                   ,2658065,4323320300,Network security or virtual private network VPN management software             ,NONE  ,,,NETVISION INC                           ,1,No
NETWARE CLIENT 2.0 MAC CD                                                       ,2345825,4323300400,Operating system software                                                       ,2,,,GLOBAL MARKETING PARTNERS               ,1,No
NETWORK ESSENTIALS SECURITY ADMIN TRAINING SEMINARS AND EXAM 2 DAYS             ,2581450,4323320300,Network security or virtual private network VPN management software             ,3500,,,SONICWALL                               ,1,No
NETWORK SERVER MONITOR ADDITIONAL IPS 10-24 SEAT LICENSE                        ,2511154,4323270100,Application server software                                                     ,NONE  ,,,GFI SOFTWARE                            ,1,No
NETWORK SERVER MONITOR ADTL IPS 5-24 SEATS                                      ,2586338,4323270100,Application server software                                                     ,NONE  ,,,GFI SOFTWARE                            ,1,No
NETZOOM 11 UNIV STD 1U PK                                                       ,2649393,4323230400,Data base management system software                                            ,NONE  ,,,ALTIMA TECHNOLOGIES                     ,1,No
NETZOOM VISIO STENCILS UNIV 1U PK LICENSE                                       ,2576212,4323270100,Application server software                                                     ,NONE  ,,,ALTIMA TECHNOLOGIES                     ,1,No
NETZOOM VISIO STENCILS UNIV 5 PACK SUBSCRIPTION RENEWAL 12 MONTHS               ,2593739,4323270100,Application server software                                                     ,NONE  ,,,ALTIMA TECHNOLOGIES                     ,5,No
NETZOOM VISIO STENCILS UNIV 5 USER LICENSE                                      ,2491121,4323270100,Application server software                                                     ,NONE  ,,,ALTIMA TECHNOLOGIES                     ,5,No
NEUXPOWER NXPOWERLITE DESKTOP 1U WIN LICENSE                                    ,2555854,4323230400,Data base management system software                                            ,NONE  ,,,NEUXPOWER SOLUTIONS LTD                 ,1,No
NEUXPOWER NXPOWERLITE DESKTOP 25-49 USERS                                       ,2556905,4323300400,Operating system software                                                       ,NONE  ,,,NEUXPOWER SOLUTIONS LTD                 ,1,No
NEUXPOWER NXPOWERLITE DESKTOP 2-9U WIN LICENSE MIN 2 PRICE PER USER             ,2558568,4323300400,Operating system software                                                       ,2,,,NEUXPOWER SOLUTIONS LTD                 ,1,No
NICELABEL PRO LICENSE                                                           ,2648919,4323300200,Network operation system software                                               ,NONE  ,,,NICEWARE INTERNATIONAL                  ,1,No
NICELABEL PRO TELEPHONE MAINT CONTRACT 1 YEAR                                   ,2648920,4323300200,Network operation system software                                               ,NONE  ,,,NICEWARE INTERNATIONAL                  ,1,No
NITRO PDF PROFESSIONAL INDIVIDUAL LICENSE                                       ,2641602,4323220200,Document management software                                                    ,NONE  ,,,NITROPDF                                ,1,No
NITRO PDF PROFESSIONAL OCR 1 USER VERSION UPGRADE                               ,2652739,4323220200,Document management software                                                    ,NONE  ,,,NITROPDF                                ,1,No
"NM ENMU TOON BOOM STUDIO V6, 26 PACK TECH SUPPORT & MAINT UPG 1 YEAR            ",2655386,4323210200,Graphics or photo imaging software                                              ,NONE  ,,,TOON BOOM                               ,1,No
"NM ENMU TOON BOOM STUDIO VERSION 6, 26 PACK LICENSE                             ",2655385,4323210200,Graphics or photo imaging software                                              ,6,,,TOON BOOM                               ,1,No
NM WBSN V5000 APPLIANCE                                                         ,2607493,4323320300,Network security or virtual private network VPN management software             ,NONE  ,,,"WEBSENSE, INC                           ",1,No
NOD32 ANTIVIRUS 4 BUS ED 100-249 USER WIN NEW LICENSE 3 YEAR                    ,2650330,4323320500,Transaction security and virus protection software                              ,NONE  ,,,ESET                                    ,1,No
NOD32 ANTIVIRUS 4 BUSINESS ED  25-49U NEW 2YR LICENSE                           ,2645308,4323320500,Transaction security and virus protection software                              ,NONE  ,,,ESET                                    ,1,No
NOD32 ANTIVIRUS 4 BUSINESS ED 100-249U LICENSE & MAINT RENEWAL 1 YEAR           ,2534543,4323320500,Transaction security and virus protection software                              ,NONE  ,,,ESET                                    ,1,No
